商品ID,商品名稱,商品連結,價格,資料已完整爬取
7989212,【CHANEL 香奈兒】CHANCE系列淡香水50ml 多款任選(平行輸入_粉紅甜蜜/橙光輕舞/綠色氣息/黃色邂逅),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=7989212&Area=search&mdiv=403&oid=0_2&cid=index&kw=chanel%E9%A6%99%E6%B0%B4,"2,999",True
7989213,【CHANEL香奈兒】CHANCE 淡香水100ml 粉紅甜蜜/橙光輕舞/綠色氣息/黃色邂逅.四款任選(平行輸入),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=7989213&Area=search&mdiv=403&oid=0_3&cid=index&kw=chanel%E9%A6%99%E6%B0%B4,"4,299",True
7989212,【CHANEL 香奈兒】CHANCE系列淡香水50ml 多款任選(平行輸入_粉紅甜蜜/橙光輕舞/綠色氣息/黃色邂逅),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=7989212&Area=search&mdiv=403&oid=1_2&cid=index&kw=chanel%E9%A6%99%E6%B0%B4,"2,999",True
7989213,【CHANEL香奈兒】CHANCE 淡香水100ml 粉紅甜蜜/橙光輕舞/綠色氣息/黃色邂逅.四款任選(平行輸入),https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=7989213&Area=search&mdiv=403&oid=1_3&cid=index&kw=chanel%E9%A6%99%E6%B0%B4,"4,299",True
